buyer_id,preferred_location,latitude,longitude,sqft,BHK,budget_price
1,Whitefield,12.963308,77.758386,2017,3,10126898
2,Jayanagar,12.922826,77.586564,2555,5,30419994
3,Electronic City,12.852052,77.661348,1374,2,6219550
4,Hebbal,13.031754,77.596553,1948,3,14214055
5,Indiranagar,12.976425,77.64238,2825,4,32106656
6,Whitefield,12.966015,77.758805,3795,3,24939344
7,Electronic City,12.839229,77.659813,1360,4,5429080
8,Indiranagar,12.974991,77.649741,3816,4,43187739
9,Jayanagar,12.932325,77.600527,2495,5,27971996
10,Hebbal,13.039208,77.601059,2958,4,24973170
11,Jayanagar,12.92548,77.599542,2551,1,28402597
12,Jayanagar,12.916803,77.597749,1810,1,20878193
13,Indiranagar,12.966098,77.645291,1299,3,17251916
14,Jayanagar,12.932286,77.586503,1087,1,12220798
15,Indiranagar,12.975674,77.649843,2415,2,24514521
16,Jayanagar,12.919868,77.596412,919,4,8749032
17,Hebbal,13.039774,77.588481,3769,2,34264627
18,Indiranagar,12.967691,77.642158,3567,5,51058136
19,BTM,12.91477,77.613631,1219,4,6902891
20,Jayanagar,12.929323,77.585808,1755,5,18348883
21,Whitefield,12.979124,77.74307,3233,1,18688899
22,Hebbal,13.042491,77.596414,3757,4,25622445
23,Indiranagar,12.968848,77.645362,787,1,11256994
24,Indiranagar,12.975385,77.632491,2936,3,31006879
25,BTM,12.920235,77.604159,2820,4,22253513
26,Indiranagar,12.972302,77.636962,2535,5,27553447
27,Jayanagar,12.918469,77.589767,3589,4,33529101
28,Jayanagar,12.928503,77.600124,3816,1,43521238
29,Whitefield,12.972302,77.754957,960,5,5545890
30,BTM,12.92386,77.602399,3112,1,25195026
31,Hebbal,13.03497,77.587543,2492,2,20341373
32,Indiranagar,12.970201,77.645828,917,5,12848500
33,Indiranagar,12.979322,77.649072,2493,2,35062346
34,Jayanagar,12.921424,77.592869,1686,1,18896763
35,Jayanagar,12.932195,77.583937,3127,4,39248609
36,BTM,12.919195,77.61251,2000,4,11695758
37,Jayanagar,12.923097,77.595838,2956,2,31496404
38,Electronic City,12.842133,77.66652,643,1,2527119
39,Hebbal,13.033587,77.604856,3860,4,36515968
40,Electronic City,12.854122,77.656618,2317,1,10444649
41,Whitefield,12.963439,77.743682,2356,5,13914799
42,Electronic City,12.841068,77.664408,1473,1,6222232
43,Whitefield,12.97115,77.744859,3429,4,22442007
44,BTM,12.915217,77.606906,1107,3,6478415
45,Whitefield,12.975228,77.759394,1560,2,8528446
46,Electronic City,12.836362,77.660277,3346,2,17047841
47,BTM,12.917261,77.619807,3163,2,24480457
48,Whitefield,12.968251,77.758759,3159,1,16727284
49,Electronic City,12.846195,77.652563,3199,5,11654004
50,Electronic City,12.841869,77.652224,2369,3,11194997
51,Electronic City,12.841813,77.661431,3739,5,13694349
52,BTM,12.90836,77.60838,888,3,5594446
53,Jayanagar,12.917079,77.59538,2948,3,27214466
54,Hebbal,13.044997,77.600333,2349,5,19465297
55,Electronic City,12.850499,77.66242,3158,3,16732027
56,Jayanagar,12.917313,77.599471,2733,2,35290479
57,Hebbal,13.031014,77.606498,2912,5,24429780
58,Electronic City,12.83935,77.664235,1616,2,7638346
59,Indiranagar,12.970511,77.64562,1459,5,19819404
60,BTM,12.907618,77.6012,2216,1,15687985
61,Electronic City,12.842151,77.651068,3199,2,12494171
62,BTM,12.915478,77.616278,3576,3,22410521
63,Indiranagar,12.978804,77.634909,3919,4,54861350
64,Whitefield,12.965866,77.749515,3185,4,15793779
65,Electronic City,12.846079,77.654814,2218,2,11550632
66,Indiranagar,12.963869,77.650277,1916,5,25369734
67,Indiranagar,12.962797,77.63957,774,4,8103957
68,Jayanagar,12.933828,77.602997,3386,2,30766903
69,Hebbal,13.04199,77.590269,2906,4,27649833
70,Electronic City,12.85065,77.65646,2380,2,12252567
71,Electronic City,12.838397,77.659952,2477,5,12200378
72,Electronic City,12.847179,77.663022,2811,1,12147045
73,Electronic City,12.849725,77.662808,3669,4,14062791
74,Indiranagar,12.962295,77.64108,2438,5,33572865
75,Hebbal,13.030588,77.589674,3690,3,32730363
76,BTM,12.924109,77.605165,3084,2,24884892
77,Electronic City,12.850617,77.661335,1744,3,8118812
78,Indiranagar,12.962458,77.644532,792,1,9803937
79,Electronic City,12.84813,77.655793,1198,2,4738374
80,Electronic City,12.852471,77.666955,1682,3,8910719
81,Electronic City,12.836485,77.668654,735,1,2930021
82,Hebbal,13.037594,77.603146,1386,4,12918961
83,Hebbal,13.043038,77.597439,2550,4,18723219
84,Indiranagar,12.973172,77.640292,2902,4,28518079
85,Whitefield,12.959972,77.746338,1465,3,7223517
86,Indiranagar,12.971417,77.638438,1738,5,22796329
87,BTM,12.909442,77.617906,3953,1,24966304
88,Hebbal,13.028571,77.602197,1163,4,7953504
89,Whitefield,12.974556,77.74974,1975,1,11355639
90,BTM,12.910858,77.604674,723,4,5858481
91,BTM,12.918911,77.608156,1146,3,8086061
92,Jayanagar,12.923384,77.602448,3015,4,37449198
93,BTM,12.919231,77.61263,1674,1,13747674
94,Whitefield,12.965588,77.741446,3739,1,22415082
95,Indiranagar,12.966514,77.640821,2129,1,26563867
96,BTM,12.922088,77.618746,3238,2,25109485
97,Electronic City,12.851353,77.65447,2661,4,9826076
98,Whitefield,12.962616,77.744438,786,1,3678202
99,Jayanagar,12.927294,77.599234,2405,2,25534835
100,Whitefield,12.974388,77.742664,1904,3,12122077
101,Whitefield,12.963627,77.746219,3102,1,18530295
102,Jayanagar,12.924976,77.58574,1575,5,18284127
103,Whitefield,12.978952,77.74037,3368,2,16445797
104,Indiranagar,12.969153,77.6355,2094,3,30061438
105,BTM,12.918514,77.616239,1327,1,8853998
106,Hebbal,13.035263,77.590749,2440,3,18811570
107,Indiranagar,12.967585,77.638105,2592,2,33476363
108,Whitefield,12.96215,77.747401,824,5,4884389
109,Hebbal,13.032897,77.588894,2002,4,18233411
110,Indiranagar,12.97288,77.635734,1414,4,16715235
111,Jayanagar,12.933295,77.59637,3654,4,46392898
112,Electronic City,12.836819,77.65415,1453,3,5668148
113,BTM,12.917916,77.618555,1006,4,7136763
114,Indiranagar,12.981337,77.643905,1830,1,20997572
115,Jayanagar,12.921941,77.602214,1503,4,13301910
116,Jayanagar,12.919929,77.594301,2646,4,25980113
117,Jayanagar,12.930217,77.592588,1561,3,14959044
118,Indiranagar,12.977267,77.637704,3303,5,37395137
119,Jayanagar,12.915753,77.596295,2185,2,27511618
120,Indiranagar,12.976566,77.64454,1531,3,19986110
121,Indiranagar,12.962072,77.631986,1152,5,16017119
122,Whitefield,12.970815,77.75558,3298,2,15377796
123,Electronic City,12.846514,77.659084,3196,1,15767986
124,Electronic City,12.839528,77.670094,3637,2,18433354
125,Jayanagar,12.918022,77.602752,3492,5,38633279
126,Jayanagar,12.918222,77.586393,3959,1,39931748
127,Hebbal,13.040661,77.601007,3761,2,28201687
128,Whitefield,12.96051,77.745409,1316,4,7628795
129,Whitefield,12.976072,77.746166,3946,5,22175624
130,Hebbal,13.043299,77.597841,2925,4,27003434
131,Whitefield,12.970993,77.758184,1365,1,8753770
132,BTM,12.925881,77.615142,2240,5,15162469
133,Jayanagar,12.933061,77.596461,3642,4,44958926
134,BTM,12.906889,77.614712,2905,2,24113430
135,Jayanagar,12.921109,77.599895,2867,4,33799962
136,Indiranagar,12.974165,77.642077,955,5,9741380
137,Indiranagar,12.96553,77.638545,1762,2,20697328
138,Jayanagar,12.916593,77.591565,692,3,7634884
139,Jayanagar,12.93329,77.591571,677,3,8488540
140,BTM,12.917151,77.605515,3120,4,22181516
141,Electronic City,12.837524,77.650585,2632,2,9995820
